Permno,Date,Price,Return
90747,20060103,34.1,0.00265
90747,20060104,33,-0.03226
90747,20060105,34.52,0.04606
90747,20060106,34.13,-0.0113
90747,20060109,35.39,0.03692
90747,20060110,35.48,0.00254
90747,20060111,35.178,-0.00851
90747,20060112,37.26,0.05918
90747,20060113,37.2,-0.00161
90747,20060117,38.3001,0.02957
90747,20060118,38.84,0.0141
90747,20060119,39.14,0.00772
90747,20060120,38.31,-0.02121
90747,20060123,37.8,-0.01331
90747,20060124,38.77,0.02566
90747,20060125,38.68,-0.00232
90747,20060126,38.611,-0.00178
90747,20060127,38.73,0.00308
90747,20060130,38.66,-0.00181
90747,20060131,37.94,-0.01862
90747,20060201,38.99,0.02768
90747,20060202,39.14,0.00385
90747,20060203,39.08,-0.00153
90747,20060206,39.22,0.00358
90747,20060207,38.88,-0.00867
90747,20060208,38.93,0.00129
90747,20060209,39.85,0.02363
90747,20060210,40,0.00376
90747,20060213,40.71,0.01775
90747,20060214,40.15,-0.01376
90747,20060215,33.19,-0.17335
90747,20060216,32.45,-0.0223
90747,20060217,31.8,-0.02003
90747,20060221,32.03,0.00723
90747,20060222,32.57,0.01686
90747,20060223,32.6,0.00092
90747,20060224,32.49,-0.00337
90747,20060227,33.25,0.02339
90747,20060228,34.24,0.02977
90747,20060301,34.65,0.01197
90747,20060302,34.68,0.00087
90747,20060303,34.54,-0.00404
90747,20060306,34.19,-0.01013
90747,20060307,33.1,-0.03188
90747,20060308,33.2,0.00302
90747,20060309,33.03,-0.00512
90747,20060310,32.69,-0.01029
90747,20060313,32.1,-0.01805
90747,20060314,32.18,0.00249
90747,20060315,32.83,0.0202
90747,20060316,33.7,0.0265
90747,20060317,33.53,-0.00504
90747,20060320,33.25,-0.00835
90747,20060321,32.83,-0.01263
90747,20060322,32.23,-0.01828
90747,20060323,33.8,0.04871
90747,20060324,35.1,0.03846
90747,20060327,35.63,0.0151
90747,20060328,34.26,-0.03845
90747,20060329,34.59,0.00963
90747,20060330,34.95,0.01041
90747,20060331,35.53,0.0166
90747,20060403,35.46,-0.00197
90747,20060404,34.26,-0.03384
90747,20060405,34.56,0.00876
90747,20060406,34.49,-0.00203
90747,20060407,33.79,-0.0203
90747,20060410,34.31,0.01539
90747,20060411,34.21,-0.00291
90747,20060412,34,-0.00614
90747,20060413,34.64,0.01882
90747,20060417,33.51,-0.03262
90747,20060418,33.9,0.01164
90747,20060419,34.64,0.02183
90747,20060420,35.22,0.01674
90747,20060421,35.03,-0.00539
90747,20060424,35.4,0.01056
90747,20060425,35.14,-0.00734
90747,20060426,36.2,0.03017
90747,20060427,36.15,-0.00138
90747,20060428,35.67,-0.01328
90747,20060501,36.25,0.01626
90747,20060502,37.45,0.0331
90747,20060503,37.78,0.00881
90747,20060504,37.4,-0.01006
90747,20060505,37.01,-0.01043
90747,20060508,37.66,0.01756
90747,20060509,37.03,-0.01673
90747,20060510,37.22,0.00513
90747,20060511,36.39,-0.0223
90747,20060512,36.63,0.0066
90747,20060515,35.29,-0.03658
90747,20060516,35.19,-0.00283
90747,20060517,35.56,0.01051
90747,20060518,35.58,0.00056
90747,20060519,35,-0.0163
90747,20060522,34.61,-0.01114
90747,20060523,33.81,-0.02311
90747,20060524,33.21,-0.01775
90747,20060525,34.21,0.03011
90747,20060526,34.06,-0.00438
90747,20060530,32.31,-0.05138
90747,20060531,32.07,-0.00743
90747,20060601,33.66,0.04958
90747,20060602,33.68,0.00059
90747,20060605,32.1,-0.04691
90747,20060606,31.67,-0.0134
90747,20060607,30.37,-0.04105
90747,20060608,29.67,-0.02305
90747,20060609,30.28,0.02056
90747,20060612,29.81,-0.01552
90747,20060613,30,0.00637
90747,20060614,29.97,-0.001
90747,20060615,29.81,-0.00534
90747,20060616,29.92,0.00369
90747,20060619,29.9,-0.00067
90747,20060620,29.26,-0.0214
90747,20060621,29.85,0.02016
90747,20060622,29.68,-0.0057
90747,20060623,29.07,-0.02055
90747,20060626,28.51,-0.01926
90747,20060627,27.13,-0.0484
90747,20060628,28.61,0.05455
90747,20060629,31.06,0.08563
90747,20060630,31.99,0.02994
90747,20060703,32.16,0.00531
90747,20060705,31.41,-0.02332
90747,20060706,29.55,-0.05922
90747,20060707,29.15,-0.01354
90747,20060710,28.46,-0.02367
90747,20060711,28.6,0.00492
90747,20060712,28.12,-0.01678
90747,20060713,28.08,-0.00142
90747,20060714,27.25,-0.02956
90747,20060717,26.64,-0.02239
90747,20060718,27,0.01351
90747,20060719,28.19,0.04407
90747,20060720,28.21,0.00071
90747,20060721,27.26,-0.03368
90747,20060724,28.48,0.04475
90747,20060725,29.52,0.03652
90747,20060726,28.53,-0.03354
90747,20060727,28.4,-0.00456
90747,20060728,20.04,-0.29437
90747,20060731,20.13,0.00449
90747,20060801,18.96,-0.05812
90747,20060802,19.06,0.00527
90747,20060803,18.86,-0.01049
90747,20060804,18.52,-0.01803
90747,20060807,19.18,0.03564
90747,20060808,19.42,0.01251
90747,20060809,19.08,-0.01751
90747,20060810,19.37,0.0152
90747,20060811,19.18,-0.00981
90747,20060814,19.12,-0.00313
90747,20060815,19.61,0.02563
90747,20060816,20,0.01989
90747,20060817,20.2,0.01
90747,20060818,21.28,0.05347
90747,20060821,20.23,-0.04934
90747,20060822,20.21,-0.00099
90747,20060823,20.24,0.00148
90747,20060824,20.88,0.03162
90747,20060825,21.07,0.0091
90747,20060828,21.99,0.04366
90747,20060829,22.11,0.00546
90747,20060830,22.53,0.019
90747,20060831,23.39,0.03817
90747,20060901,23.7,0.01325
90747,20060905,23.58,-0.00506
90747,20060906,23.11,-0.01993
90747,20060907,22.4,-0.03072
90747,20060908,22.81,0.0183
90747,20060911,23.24,0.01885
90747,20060912,24.87,0.07014
90747,20060913,24.49,-0.01528
90747,20060914,23.84,-0.02654
90747,20060915,24.61,0.0323
90747,20060918,23.99,-0.02519
90747,20060919,23.79,-0.00834
90747,20060920,24.61,0.03447
90747,20060921,24.55,-0.00244
90747,20060922,24.99,0.01792
90747,20060925,24.57,-0.01681
90747,20060926,24.29,-0.0114
90747,20060927,23.88,-0.01688
90747,20060928,23.4,-0.0201
90747,20060929,22.54,-0.03675
90747,20061002,24.07,0.06788
90747,20061003,23.91,-0.00665
90747,20061004,24.63,0.03011
90747,20061005,24.92,0.01177
90747,20061006,24.95,0.0012
90747,20061009,25.36,0.01643
90747,20061010,26.15,0.03115
90747,20061011,26.23,0.00306
90747,20061012,26.2,-0.00114
90747,20061013,27.35,0.04389
90747,20061016,29.03,0.06143
90747,20061017,27.34,-0.05822
90747,20061018,26.91,-0.01573
90747,20061019,27,0.00334
90747,20061020,26.75,-0.00926
90747,20061023,28.56,0.06766
90747,20061024,28.55,-0.00035
90747,20061025,28.8,0.00876
90747,20061026,28.42,-0.01319
90747,20061027,31.74,0.11682
90747,20061030,32.96,0.03844
90747,20061031,32.76,-0.00607
90747,20061101,31.48,-0.03907
90747,20061102,31.82,0.0108
90747,20061103,32.02,0.00629
90747,20061106,32.21,0.00593
90747,20061107,31.85,-0.01118
90747,20061108,31.88,0.00094
90747,20061109,31.35,-0.01662
90747,20061110,32.36,0.03222
90747,20061113,31.63,-0.02256
90747,20061114,32.74,0.03509
90747,20061115,33.25,0.01558
90747,20061116,32.69,-0.01684
90747,20061117,32.64,-0.00153
90747,20061120,32.64,0
90747,20061121,32.5,-0.00429
90747,20061122,32.63,0.004
90747,20061124,32.52,-0.00337
90747,20061127,31.75,-0.02368
90747,20061128,31.39,-0.01134
90747,20061129,32.07,0.02166
90747,20061130,32.41,0.0106
90747,20061201,32.3,-0.00339
90747,20061204,32.94,0.01981
90747,20061205,32.65,-0.0088
90747,20061206,32.53,-0.00368
90747,20061207,32.52,-0.00031
90747,20061208,31.91,-0.01876
90747,20061211,32.05,0.00439
90747,20061212,32.3,0.0078
90747,20061213,31.6,-0.02167
90747,20061214,30.72,-0.02785
90747,20061215,30.67,-0.00163
90747,20061218,29.48,-0.0388
90747,20061219,29.57,0.00305
90747,20061220,30.04,0.01589
90747,20061221,29.15,-0.02963
90747,20061222,28.85,-0.01029
90747,20061226,28.68,-0.00589
90747,20061227,29.3,0.02162
90747,20061228,28.76,-0.01843
90747,20061229,29.57,0.02816
